Id	norm.dF4Ur1	norm.dF4Ur2	norm.dF4Ur3	norm.dF4Mr1	norm.dF4Mr2	norm.dF4Mr3	norm.dF4M40r1	norm.dF4M40r2	norm.dF4M40r3
Wdr4	461	253	133	636	554	291	854	1211	325
Wdr43	439	864	920	1693	1594	1838	2076	1952	2878
Wdr46	630	284	286	889	588	511	1154	842	686
Wdr55	318	144	123	348	242	265	487	338	308
Wdr5b	158	126	103	91	83	52	60	55	56
Wdr61	260	211	197	373	405	308	455	383	388
Wdr75	261	481	383	865	959	960	1020	953	1496
Wdr83os	153	132	77	190	245	159	218	303	146
Wee1	73	95	135	172	205	233	238	267	325
Wfdc21	7	8	15	1	7	3	0	10	5
Xdh	161	231	201	38	85	69	15	76	47
Xkrx	184	234	193	80	149	72	20	30	13
Xylt1	2870	1914	2457	2659	1884	2550	1792	802	1679
Yars	558	470	417	852	723	666	1055	1372	886
Yars2	214	146	121	274	231	206	332	288	250
Ybx1	1251	721	771	1872	1231	1553	2203	1427	1941
Ybx3	881	482	510	1828	1268	1276	2630	1856	1926
Ydjc	96	46	8	119	89	28	168	96	51
Ypel2	74	114	66	18	24	13	12	25	5
Ypel5	254	296	316	159	192	246	92	116	127
Zadh2	400	508	448	259	368	268	222	237	229
Zbed5	53	48	65	158	117	163	136	141	138
Zbp1	103	73	727	35	33	469	15	0	225
Zbtb20	1509	1774	2457	1075	819	1531	712	383	814
Zbtb4	2065	1058	1072	649	529	546	418	222	358
Zbtb46	256	249	172	428	393	351	920	802	717
Zbtb8a	44	35	40	32	21	25	22	20	3
Zc3h12c	87	109	193	517	433	667	579	419	831
Zc3h6	206	215	368	128	119	142	139	91	189
Zcchc18	105	69	51	23	28	17	9	15	1
Zcchc24	141	151	125	46	54	45	20	55	13
Zer1	1828	1057	922	716	683	461	510	383	332
Zfas1	520	339	306	631	557	546	856	757	916
Zfp202	70	69	50	142	149	126	190	121	184
Zfp287	104	113	128	52	61	48	45	71	33
Zfp318	2055	3320	2293	1619	2201	1855	1046	898	1224
Zfp354c	49	84	103	52	40	59	37	20	47
Zfp365	30	37	46	43	50	46	63	61	47
Zfp36l2	1895	1493	819	850	850	468	604	358	336
Zfp467	63	48	45	14	13	24	12	20	4
Zfp593	357	113	44	358	244	163	499	661	193
Zfp608	853	779	902	405	402	333	332	247	215
Zfp61	104	104	103	44	43	41	34	50	37
Zfp783	186	201	193	418	346	316	530	550	359
Zfp821	236	172	157	64	91	111	60	96	74
Zfp831	2266	1596	1607	345	369	285	108	66	55
Zfp949	70	113	147	52	73	90	41	15	58
Zfyve28	43	14	9	11	5	6	1	35	1
Zhx3	91	121	104	55	68	97	33	81	37
Zkscan16	2	6	1	0	0	0	0	0	0
Zmiz2	3301	1980	2298	3975	2936	3154	5275	2578	3606
Zmynd11	945	1230	1237	732	756	793	602	378	668
Zmynd19	188	172	157	296	357	242	414	716	331
Znhit6	63	110	107	205	196	195	232	388	313
Znrf3	50	63	67	157	142	184	135	156	171
Zpr1	719	440	426	778	692	587	1012	943	755
Zrsr1	117	97	152	91	52	87	58	5	79
